"","Dia setmana","Mes de any","Dia de mes","Hora de dia","Desc. Tipus vehicle implicat","Descripció sexe","Edat","Descripció tipus persona","Descripció victimització"
"575","6",8,21,11,"11","0","43","0","0"
"576","4",3,11,12,"17","1","23","2","0"
"577","4",3,11,12,"17","0","42","0","0"
"578","4",3,18,15,"13","0","50","0","0"
"579","0",5,2,15,"11","1","48","0","0"
"580","3",5,12,13,"11","1","19","0","0"
"581","3",9,1,10,"17","1","58","1","0"
"582","3",9,1,10,"17","0","61","0","0"
"583","2",9,21,8,"17","0","82","2","2"
"584","2",1,13,17,"3","0","17","0","0"
"585","2",3,2,10,"11","0","53","0","0"
"586","4",10,28,5,"11","1","30","0","0"
"587","2",7,20,16,"11","0","55","0","0"
"588","5",1,2,12,"9","1","42","1","0"
